zipcode,room_type,accommodates,bedrooms,bathrooms,beds,minimum_nights,number_of_reviews,price,price_bin
94117,Entire home/apt,3,1.0,1.0,2.0,1,240,170.0,bin 150-200
94110,Entire home/apt,5,2.0,1.0,3.0,30,111,235.0,bin 200-250
94117,Private room,2,1.0,4.0,1.0,32,19,65.0,bin 50-100
94117,Private room,2,1.0,4.0,1.0,32,8,65.0,bin 50-100
94110,Private room,3,1.0,1.0,1.0,1,736,139.0,bin 100-150
94107,Private room,2,1.0,1.0,1.0,1,531,135.0,bin 100-150
94110,Entire home/apt,4,2.0,1.0,3.0,30,337,150.0,bin 100-150
94109,Entire home/apt,2,0.0,1.0,1.0,30,18,120.0,bin 100-150
94117,Entire home/apt,3,3.0,1.0,3.0,30,37,177.0,bin 150-200
94102,Entire home/apt,5,3.0,2.0,3.0,30,15,110.0,bin 100-150
94102,Entire home/apt,2,1.0,1.5,1.0,30,20,121.0,bin 100-150
94117,Private room,2,1.0,3.0,2.0,32,6,85.0,bin 50-100
94117,Private room,2,1.0,3.0,2.0,32,5,85.0,bin 50-100
94114,Private room,1,1.0,1.0,1.0,3,427,79.0,bin 50-100
94117,Entire home/apt,4,2.0,1.0,3.0,30,17,117.0,bin 100-150
94105,Entire home/apt,4,2.0,2.0,2.0,30,14,450.0,bin 400-450
94114,Entire home/apt,3,0.0,1.0,1.0,30,63,107.0,bin 100-150
94117,Private room,2,1.0,1.0,1.0,2,415,110.0,bin 100-150
94133,Entire home/apt,2,1.0,1.0,1.0,30,119,125.0,bin 100-150
94117,Private room,2,1.0,4.0,1.0,32,14,65.0,bin 50-100
94114,Entire home/apt,2,1.0,1.0,1.0,3,412,155.0,bin 150-200
94107,Private room,2,1.0,1.0,1.0,2,306,135.0,bin 100-150
94117,Private room,1,1.0,1.0,1.0,1,204,79.0,bin 50-100
94115,Entire home/apt,4,1.0,1.0,1.0,5,332,225.0,bin 200-250
94131,Private room,2,1.0,1.0,1.0,5,42,150.0,bin 100-150
94117,Private room,2,1.0,1.0,1.0,2,446,110.0,bin 100-150
94107,Private room,3,0.0,1.0,1.0,4,320,125.0,bin 100-150
94117,Entire home/apt,10,4.0,2.0,5.0,3,35,480.0,bin 450-500
94114,Entire home/apt,2,1.0,1.0,1.0,30,132,125.0,bin 100-150
94110,Private room,4,1.0,1.0,2.0,1,29,199.0,bin 150-200
